tick101, ev003, fred, 20230802, 0
tick102, ev002, gio, 20230803, 2
tick103, ev003, bilal, 20230804, 2
tick104, ev001, ahmad, 20230804, 2
tick105, ev001, nawal, 20230805, 2
tick106, ev002, geo, 20230802, 2
tick107, ev003, charbel, 20230803, 2
tick108, ev003, hadi, 20230805, 2
tick109, ev002, nadia, 20230802, 2
tick110, ev001, rachele, 20230801, 2
tick111, ev003, fred, 20230802, 0
tick112, ev002, gio, 20230803, 2
tick113, ev002, bilal, 20230731, 2
tick114, ev001, ahmad, 20230801, 2
tick115, ev001, nawal, 20230801, 2
tick116, ev002, geo, 20230802, 2
tick117, ev002, charbel, 20230803, 2
tick118, ev003, hadi, 20230805, 2
tick119, ev002, nadia, 20230802, 2
tick120, ev001, rachele, 20230804, 2
tick121, ev003, fred, 20230802, 0
tick122, ev002, gio, 20230803, 2
tick123, ev002, bilal, 20230804, 2
tick124, ev001, ahmad, 20230804, 2
tick125, ev001, nawal, 20230805, 2
tick126, ev003, geo, 20230802, 2
tick127, ev002, charbel, 20230803, 2
tick129, ev002, nadia, 20230802, 2
tick130, ev001, rachele, 20230804, 2
tick131, ev002, bil, 20230801, 0
tick132, ev001, bila, 20230802, 2
